"161","2","0"
"161","11","0"
"161","16","0"
"165","2","0"
"165","11","0"
"165","17","0"
"168","2","0"
"168","11","0"
"168","16","0"
"171","2","0"
"171","11","0"
"171","16","0"
"175","2","0"
"175","11","0"
"175","15","0"
"178","2","0"
"178","11","0"
"178","15","0"
"181","2","0"
"181","11","0"
"181","14","0"
"185","2","0"
"185","11","0"
"185","14","0"
"198","2","0"
"198","11","0"
"198","17","0"
"202","2","0"
"202","11","0"
"202","18","0"
"206","2","0"
"206","11","0"
"206","18","0"
"210","2","0"
"210","11","0"
"210","14","0"
"215","2","0"
"215","11","0"
"215","19","0"
"219","2","0"
"219","11","0"
"219","19","0"
"223","2","0"
"223","11","0"
"223","19","0"
"227","2","0"
"227","11","0"
"227","14","0"
"231","2","0"
"231","11","0"
"231","23","0"
"237","2","0"
"237","11","0"
"237","22","0"
"245","2","0"
"245","11","0"
"245","21","0"
"248","2","0"
"248","11","0"
"248","21","0"
"254","2","0"
"254","11","0"
"254","21","0"
"257","2","0"
"257","11","0"
"257","22","0"
"258","2","0"
"258","11","0"
"258","22","0"
"262","2","0"
"262","11","0"
"262","14","0"
"267","2","0"
"267","11","0"
"267","14","0"
"272","2","0"
"272","11","0"
"272","14","0"
"277","2","0"
"277","11","0"
"277","15","0"
"278","2","0"
"278","11","0"
"278","15","0"
"279","2","0"
"279","11","0"
"279","15","0"
"285","2","0"
"285","11","0"
"285","19","0"
"288","2","0"
"288","11","0"
"288","22","0"
"290","2","0"
"290","11","0"
"290","22","0"
"295","2","0"
"295","11","0"
"295","22","0"
"296","2","0"
"296","11","0"
"296","22","0"
"299","2","0"
"299","11","0"
"299","22","0"
"302","2","0"
"302","11","0"
"302","22","0"
"305","2","0"
"305","11","0"
"305","22","0"
"308","2","0"
"308","11","0"
"308","22","0"
"313","2","0"
"313","11","0"
"313","22","0"
"316","2","0"
"316","11","0"
"316","24","0"
"322","2","0"
"322","11","0"
"322","24","0"
"328","2","0"
"328","11","0"
"328","24","0"
"333","2","0"
"333","11","0"
"333","24","0"
"338","2","0"
"338","11","0"
"338","25","0"
"343","2","0"
"343","11","0"
"343","25","0"
"348","2","0"
"348","11","0"
"348","25","0"
"353","2","0"
"353","11","0"
"353","25","0"
"358","2","0"
"358","11","0"
"358","23","0"
"359","2","0"
"359","11","0"
"359","23","0"
"362","2","0"
"362","11","0"
"362","23","0"
"367","2","0"
"367","11","0"
"367","23","0"
"370","2","0"
"370","11","0"
"370","19","0"
"373","2","0"
"373","11","0"
"373","19","0"
"376","2","0"
"376","11","0"
"376","19","0"
"379","2","0"
"379","11","0"
"379","19","0"
"388","4","0"
"388","11","0"
"388","26","0"
"388","27","0"
"388","28","0"
"388","29","0"
"393","4","0"
"393","11","0"
"393","26","0"
"393","27","0"
"393","28","0"
"393","29","0"
